# Forecast peak intensity — RONI (relative Nino 3.4): each ensemble member's Jul-Dec 2026 peak
# Climate Dashboard (https://github.com/hausfath/climate-dashboard) — regenerated daily; this file: 2026-09-03
# peak_c: the member's maximum monthly forecast over Jul-Dec 2026; peak_month: when it occurs. Members must cover both Nov and Dec to be included.
# Dashboard statistics weight every model equally regardless of ensemble size.
# All values in degrees Celsius unless a column says otherwise. Load with pandas.read_csv(..., comment='#').
model,member_id,peak_c,peak_month
BOM,ens_000,2.7248,2026-12
BOM,ens_001,3.0743,2026-11
BOM,ens_002,3.0082,2026-10
BOM,ens_003,2.8111,2026-11
BOM,ens_004,2.8076,2026-09
BOM,ens_005,2.9401,2026-11
BOM,ens_006,2.9700,2026-10
BOM,ens_007,2.5972,2026-10
BOM,ens_008,3.0100,2026-10
BOM,ens_009,2.9407,2026-11
BOM,ens_010,3.3199,2026-10
BOM,ens_011,2.7235,2026-11
BOM,ens_012,3.2818,2026-11
BOM,ens_013,2.7134,2026-10
BOM,ens_014,3.1022,2026-10
BOM,ens_015,3.1884,2026-10
BOM,ens_016,2.7543,2026-12
BOM,ens_017,3.2149,2026-12
BOM,ens_018,3.1998,2026-10
BOM,ens_019,3.2650,2026-11
BOM,ens_020,2.7249,2026-10
BOM,ens_021,2.8775,2026-10
BOM,ens_022,3.0564,2026-10
BOM,ens_023,2.7518,2026-10
BOM,ens_024,3.1413,2026-11
BOM,ens_025,2.9376,2026-11
BOM,ens_026,2.7233,2026-11
BOM,ens_027,3.3634,2026-11
BOM,ens_028,3.0993,2026-11
BOM,ens_029,3.0734,2026-12
BOM,ens_030,3.3662,2026-11
BOM,ens_031,2.9370,2026-10
BOM,ens_032,3.2635,2026-11
BOM,ens_033,2.7340,2026-11
BOM,ens_034,3.0796,2026-10
BOM,ens_035,3.1341,2026-11
BOM,ens_036,2.8087,2026-10
BOM,ens_037,2.9468,2026-10
BOM,ens_038,3.0146,2026-11
BOM,ens_039,2.9564,2026-10
BOM,ens_040,3.1573,2026-10
BOM,ens_041,3.2729,2026-11
BOM,ens_042,2.9377,2026-11
BOM,ens_043,3.0024,2026-10
BOM,ens_044,3.3201,2026-11
BOM,ens_045,3.1691,2026-10
BOM,ens_046,3.0361,2026-10
BOM,ens_047,2.9355,2026-10
BOM,ens_048,2.9518,2026-11
BOM,ens_049,3.4308,2026-11
BOM,ens_050,2.8356,2026-11
BOM,ens_051,3.0473,2026-10
BOM,ens_052,3.0575,2026-11
BOM,ens_053,3.0816,2026-10
BOM,ens_054,3.0038,2026-10
BOM,ens_055,2.9984,2026-11
BOM,ens_056,3.0225,2026-10
BOM,ens_057,3.2454,2026-11
BOM,ens_058,3.2416,2026-10
BOM,ens_059,3.3221,2026-10
BOM,ens_060,3.0567,2026-11
